UART command listener started.

Waiting for command:

Received '1' command. GPIO high, start read.

Addr 0x101004FC = 0xEF7D

Addr 0x101004FE = 0x177C

Addr 0x10100500 = 0x3D6E

Addr 0x10100502 = 0x5C56

Addr 0x10100504 = 0x7137

Addr 0x10100506 = 0x7D11

Addr 0x10100508 = 0x7CE9

Addr 0x1010050A = 0x6EC3

Addr 0x1010050C = 0x56A4

Addr 0x1010050E = 0x378F

Addr 0x10100510 = 0x1183

Addr 0x10100512 = 0xE984

Addr 0x10100514 = 0xC392

Addr 0x10100516 = 0xA4AA

Addr 0x10100518 = 0x8FC9

Addr 0x1010051A = 0x83EF

Addr 0x1010051C = 0x8417

Addr 0x1010051E = 0x923D

Addr 0x10100520 = 0xAA5C

Addr 0x10100522 = 0xC971

Addr 0x10100524 = 0xEF7D

Addr 0x10100526 = 0x177C

Addr 0x10100528 = 0x3D6E

Addr 0x1010052A = 0x5C56

Addr 0x1010052C = 0x7137

Addr 0x1010052E = 0x7D11

Addr 0x10100530 = 0x7CE9

Addr 0x10100532 = 0x6EC3

Addr 0x10100534 = 0x56A4

Addr 0x10100536 = 0x378F

Addr 0x10100538 = 0x1183

Addr 0x1010053A = 0xE984

Addr 0x1010053C = 0xC392

Addr 0x1010053E = 0xA4AA

Addr 0x10100540 = 0x8FC9

Addr 0x10100542 = 0x83EF

Addr 0x10100544 = 0x8417

Addr 0x10100546 = 0x923D

Addr 0x10100548 = 0xAA5C

Addr 0x1010054A = 0xC971

Addr 0x1010054C = 0xEF7D

Addr 0x1010054E = 0x177C

Addr 0x10100550 = 0x3D6E

Addr 0x10100552 = 0x5C56

Addr 0x10100554 = 0x7137

Addr 0x10100556 = 0x7D11

Addr 0x10100558 = 0x7CE9

Addr 0x1010055A = 0x6EC3

Addr 0x1010055C = 0x56A4

Addr 0x1010055E = 0x378F

Addr 0x10100560 = 0x1183

Addr 0x10100562 = 0xE984

Addr 0x10100564 = 0xC392

Addr 0x10100566 = 0xA4AA

Addr 0x10100568 = 0x8FC9

Addr 0x1010056A = 0x83EF

Addr 0x1010056C = 0x8417

Addr 0x1010056E = 0x923D

Addr 0x10100570 = 0xAA5C

Addr 0x10100572 = 0xC971

Addr 0x10100574 = 0xEF7D

Addr 0x10100576 = 0x177C

Addr 0x10100578 = 0x3D6E

Addr 0x1010057A = 0x5C56

Addr 0x1010057C = 0x7137

Addr 0x1010057E = 0x7D11

Addr 0x10100580 = 0x7CE9

Addr 0x10100582 = 0x6EC3

Addr 0x10100584 = 0x56A4

Addr 0x10100586 = 0x378F

Addr 0x10100588 = 0x1183

Addr 0x1010058A = 0xE984

Addr 0x1010058C = 0xC392

Addr 0x1010058E = 0xA4AA

Addr 0x10100590 = 0x8FC9

Addr 0x10100592 = 0x83EF

Addr 0x10100594 = 0x8417

Addr 0x10100596 = 0x923D

Addr 0x10100598 = 0xAA5C

Addr 0x1010059A = 0xC971

Addr 0x1010059C = 0xEF7D

Addr 0x1010059E = 0x177C

Addr 0x101005A0 = 0x3D6E

Addr 0x101005A2 = 0x5C56

Addr 0x101005A4 = 0x7137

